device,percentile,initial_priority,opportunity_ms,total
desktop,10,High,1,115345
desktop,25,High,2,115345
desktop,50,High,27,115345
desktop,75,High,79,115345
desktop,90,High,168,115345
desktop,10,Highest,1,250
desktop,25,Highest,1,250
desktop,50,Highest,2,250
desktop,75,Highest,71,250
desktop,90,Highest,260,250
desktop,10,Low,1,11967505
desktop,25,Low,2,11967505
desktop,50,Low,52,11967505
desktop,75,Low,183,11967505
desktop,90,Low,414,11967505
desktop,10,Lowest,1,640
desktop,25,Lowest,1,640
desktop,50,Lowest,2,640
desktop,75,Lowest,107,640
desktop,90,Lowest,851,640
mobile,10,High,1,239060
mobile,25,High,2,239060
mobile,50,High,21,239060
mobile,75,High,104,239060
mobile,90,High,303,239060
mobile,10,Highest,0,205
mobile,25,Highest,1,205
mobile,50,Highest,2,205
mobile,75,Highest,12,205
mobile,90,Highest,656,205
mobile,10,Low,1,15391695
mobile,25,Low,6,15391695
mobile,50,Low,102,15391695
mobile,75,Low,467,15391695
mobile,90,Low,817,15391695
mobile,10,Lowest,1,1055
mobile,25,Lowest,1,1055
mobile,50,Lowest,2,1055
mobile,75,Lowest,377,1055
mobile,90,Lowest,1077,1055
