device,number_of_render_blocking_assets,p50_opportunity_ms,num_pages
desktop,0,28,160769
desktop,1,30,214223
desktop,2,22,213011
desktop,3,26,210481
desktop,4,33,183327
desktop,5,41,184413
desktop,6,42,151851
desktop,7,46,150095
desktop,8,46,133748
desktop,9,39,128205
desktop,10,38,119634
desktop,11,43,112930
desktop,12,40,99409
desktop,13,40,89623
desktop,14,48,80891
desktop,15,50,73233
desktop,16,56,65350
desktop,17,58,59555
desktop,18,66,54959
desktop,19,73,53768
desktop,20,90,626655
mobile,0,39,298398
mobile,1,57,293330
mobile,2,40,271622
mobile,3,38,272777
mobile,4,68,244092
mobile,5,76,226406
mobile,6,86,197361
mobile,7,74,217409
mobile,8,74,175601
mobile,9,64,162795
mobile,10,65,159125
mobile,11,65,141650
mobile,12,73,131836
mobile,13,77,115465
mobile,14,91,108089
mobile,15,104,93686
mobile,16,132,85471
mobile,17,153,81389
mobile,18,161,73271
mobile,19,169,68532
mobile,20,212,838493
